YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2022,2,4843,32900,Carguru
2023,1,2757,33100,Carguru
2022,2,10096,31475,Carguru
2023,1,6071,29645,Autotrader
2011,13,135813,7450,Autotrader
2022,4,10191,27197,Autotrader
2020,4,28267,25197,Autotrader
2020,4,72104,17999,Autotrader
2020,4,7681,25690,Autotrader
2023,1,5442,32923,Autotrader
2023,1,3339,30000,Craigslist
2019,5,22141,23197,Craigslist
2009,15,137865,6511,Craigslist
2022,4,17557,23000,Craigslist
2010,14,96480,8380,Craigslist
2022,2,6891,26881,Craigslist
2023,1,7444,30444,Craigslist
2023,1,3184,30000,Carguru
