YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2022,2,"4,843","32,900",Carguru
2022,2,4843,32900,Carguru
2023,1,2757,33100,Carguru
2022,2,10096,31475,Carguru
2023,1,6071,29645,Autotrader
2011,13,135813,7450,Autotrader
2022,4,10191,27197,Autotrader
2020,4,28267,25197,Autotrader
2020,4,72104,17999,Autotrader
2020,4,7681,25690,Autotrader
2023,1,5442,"32,923",Autotrader
2023,1,"3,339","30,000",Craigslist
2019,5,"22,141","23,197",Craigslist
2009,15,"137,865","6,511",Craigslist
2022,4,"17,557","23,000",Craigslist
2010,14,"96,480",8380,Craigslist
2022,2,6891,"26,881",Craigslist
2023,1,7444,30444,Craigslist
2023,1,3184,30000,Carguru
