Date,Day of the Week,Amount,Description,Other,Method of Payment,Need/Want/Saving
01-24,Wednesday,84.99,Sephora ,Entertainment and Recreation,Debit,Want
01-25,Thursday,150.00,Rent,Bills,Debit,Need
01-25,Thursday,5.65,Coffee,Food,Debit,Want
01-25,Thursday,10.73,Ikes sandwich,Food,Debit,Want
01-25,Thursday,20.00,Gift ,Other,Cash,Want
01-25,Thursday,40.00,Spotify ,Entertainment ,Debit,Want
01-25,Thursday,20.00,Gift ,Other,Debit,Want
01-26,Friday,20.00,Gift ,Other,Debit,Want
01-26,Friday,20.00,Gift ,Other,Debit,Want
01-26,Friday,20.00,Gift ,Other,Debit,Want
01-26,Friday,40.00,Gift ,Other,Debit,Want
01-29,Monday,48.20,Safeway,Food,Debit,Need
01-29,Monday,25.00,Target ,Other,Debit,Want
01-29,Monday,13.29,Chipotle,Food,Debit,Want
01-30,Tuesday,5.32,Uber,Travel,Debit,Need
01-30,Tuesday,5.48,Jack in the box,Food,Debit,Want
01-30,Tuesday,15.90,Chiptole,Food,Debit,Want
01-31,Monday,5.99,Skyline Cafe ,Food,Debit,Want
02-01,Tuesday,12.49,Tabitas Cafe ,Food,Debit,Want
02-01,Tuesday,14.28,Uber,Travel,Debit,Need
